timestamp,byte1,byte2,byte3,byte4,byte5,byte6,byte7,byte8,label
9.96,31,42,43,48,2,144,112,19,0
0.5,31,42,43,48,2,144,112,19,1
20.58,31,42,43,48,2,144,112,36,1
11.23,31,42,43,48,2,144,112,53,0
8.5,31,42,43,48,2,144,110,3,0
10.22,31,42,43,48,2,144,110,20,0
10.01,31,42,43,48,2,144,109,38,0
9.73,32,42,43,48,2,144,110,54,0
10.23,32,42,43,48,2,144,109,4,0
9.97,32,42,43,48,2,144,107,23,0
10.01,32,42,43,48,2,144,107,40,0
9.91,32,42,42,48,2,144,107,58,0
10.01,32,42,43,48,2,144,107,6,0
10.01,32,42,42,48,2,144,106,25,0
10.07,32,42,42,48,2,144,107,41,0
9.93,32,42,43,48,2,144,107,57,0
9.76,32,42,43,48,2,144,107,6,0
10.58,32,42,42,48,2,144,107,24,0
9.67,32,42,43,48,2,144,109,38,0
10.24,32,42,43,48,2,144,109,55,0
9.47,32,42,43,48,2,144,111,2,0
10.23,31,42,43,48,2,144,111,19,0
10.03,31,42,43,48,2,144,110,37,0
9.96,31,42,43,48,2,144,110,54,0
9.91,31,42,43,48,2,144,111,2,0
10.01,31,42,43,48,2,144,112,19,0
9.99,31,42,43,48,2,144,111,36,0
10.01,31,42,43,48,2,144,110,54,0
9.81,31,42,43,48,2,144,108,5,0
10.16,32,42,43,48,2,144,108,22,0
10.11,32,42,43,48,2,144,108,39,0
9.94,32,42,43,48,2,144,108,56,0
9.77,32,42,43,48,2,144,111,2,0
10.25,32,42,43,48,2,144,112,19,0
10,32,43,43,48,2,144,114,33,0
9.78,31,43,43,48,2,144,114,50,0
9.96,31,42,43,48,2,144,113,1,0
10.05,31,43,43,48,2,144,115,31,0
10.24,31,43,43,48,2,144,116,47,0
9.77,31,43,43,48,2,144,115,49,0
9.92,31,43,43,48,2,144,116,13,0
10.11,31,43,43,48,2,144,115,31,0
9.99,31,43,43,48,2,144,113,34,0
9.94,31,42,43,48,2,144,112,53,0
9.87,31,43,43,48,2,144,113,0,0
10.22,31,42,43,48,2,144,112,19,0
9.97,31,42,43,48,2,144,111,36,0
10,31,42,43,48,2,144,112,53,0
9.77,31,42,43,48,2,144,112,2,0
10.2,31,42,43,48,2,144,113,18,0
10.06,31,42,43,48,2,144,112,36,0
9.84,31,43,43,48,2,144,114,50,0
9.94,31,43,43,48,2,144,115,14,0
10.06,31,43,43,48,2,144,114,16,0
10.14,31,43,43,48,2,144,114,33,0
9.83,31,43,43,48,2,144,112,52,0
9.93,31,43,43,48,2,144,114,15,0
10.04,31,43,43,48,2,144,114,16,0
10.16,31,43,43,48,2,144,115,32,0
9.84,31,43,43,48,2,144,114,50,0
9.9,31,42,43,48,2,144,110,3,0
10.15,31,42,43,48,2,144,111,19,0
10.07,31,42,43,48,2,144,110,37,0
9.91,31,42,43,48,2,144,110,54,0
10.03,31,42,43,48,2,144,110,3,0
9.98,32,42,43,48,2,144,108,22,0
10.09,32,42,43,48,2,144,107,40,0
9.88,32,42,43,48,2,144,107,57,0
10,32,42,43,48,2,144,107,6,0
9.98,32,42,43,48,2,144,108,22,0
10.06,32,42,43,48,2,144,111,36,0
9.85,31,42,43,48,2,144,112,53,0
10.01,31,42,43,48,2,144,112,2,0
9.94,31,42,43,48,2,144,112,19,0
10.17,31,43,43,48,2,144,113,34,0
9.92,31,43,43,48,2,144,114,50,0
9.88,31,43,43,48,2,144,113,0,0
10,31,43,43,48,2,144,114,16,0
10.15,31,43,43,48,2,144,112,35,0
9.87,31,42,43,48,2,144,111,53,0
10,31,42,43,48,2,144,112,2,0
9.96,31,42,43,48,2,144,111,19,0
9.92,31,42,43,48,2,144,111,36,0
10.08,32,42,43,48,2,144,109,55,0
10.08,32,42,43,48,2,144,109,4,0
9.98,32,42,43,48,2,144,109,21,0
10.08,32,42,43,48,2,144,110,37,0
9.9,32,42,43,48,2,144,109,55,0
9.98,32,42,43,48,2,144,110,3,0
10.04,32,43,43,48,2,144,111,18,0
9.97,32,43,43,48,2,144,111,35,0
9.98,32,43,43,48,2,144,111,52,0
9.91,32,42,43,48,2,144,110,3,0
10.04,31,43,43,48,2,144,115,31,0
10.1,31,43,43,48,2,144,116,47,0
9.9,31,43,43,48,2,144,115,49,0
9.9,31,43,43,48,2,144,116,13,0
10.11,31,43,43,48,2,144,115,31,0
9.98,31,43,43,48,2,144,113,34,0
10,31,43,43,48,2,144,113,51,0
9.9,31,43,43,48,2,144,114,15,0
10.11,31,43,43,48,2,144,113,17,0
9.98,31,42,43,48,2,144,111,36,0
10.03,31,42,43,48,2,144,111,53,0
9.93,31,42,43,48,2,144,110,3,0
10.06,31,42,43,48,2,144,111,19,0
9.95,31,42,43,48,2,144,110,37,0
9.82,31,42,43,48,2,144,112,53,0
10.12,31,42,43,48,2,144,113,1,0
9.88,31,42,43,48,2,144,112,19,0
10.13,31,42,43,48,2,144,113,35,0
9.86,31,42,43,48,2,144,112,53,0
10.04,31,43,43,48,2,144,115,14,0
9.96,31,43,43,48,2,144,115,31,0
10.18,31,43,43,48,2,144,115,32,0
9.82,31,43,43,48,2,144,115,49,0
9.97,31,42,43,48,2,144,112,2,0
10.03,31,42,43,48,2,144,113,18,0
10.12,31,42,43,48,2,144,112,36,0
9.89,31,42,43,48,2,144,113,52,0
9.93,31,42,43,48,2,144,112,2,0
10.08,31,42,43,48,2,144,111,19,0
10.13,31,42,43,48,2,144,112,36,0
9.85,31,42,43,48,2,144,111,53,0
10.01,31,42,43,48,2,144,112,2,0
10,31,42,43,48,2,144,111,19,0
10.05,31,43,43,48,2,144,113,34,0
9.93,31,43,43,48,2,144,113,51,0
9.97,31,43,43,48,2,144,113,0,0
0.5,31,43,43,48,2,144,113,0,1
0.5,31,43,43,48,2,144,113,0,1
0.5,31,43,43,48,2,144,113,0,1
0.5,31,43,43,48,2,144,113,0,1
0.5,31,43,43,48,2,144,113,0,1
0.5,31,43,43,48,2,144,113,0,1
20.54,31,43,43,48,2,144,113,17,1
10,31,43,43,48,2,144,118,45,0
10.29,31,44,44,48,2,144,123,55,0
9.57,31,45,44,48,2,144,131,12,0
10.14,31,45,45,48,2,144,142,17,0
10,31,45,45,48,2,144,142,34,0
9.75,31,45,45,48,2,144,142,51,0
10.05,31,45,45,48,2,144,142,0,0
9.94,31,45,46,48,2,144,142,16,0
10.24,31,45,46,48,2,144,142,33,0
9.77,31,45,46,48,2,144,142,50,0
10.02,31,45,47,48,2,144,141,15,0
9.98,32,45,47,48,2,144,141,16,0
10.25,32,45,48,48,2,144,141,33,0
9.75,32,45,48,48,2,144,141,50,0
10.08,32,45,48,48,2,144,141,15,0
9.92,32,45,49,48,2,144,141,31,0
10.09,32,45,49,48,2,144,140,33,0
9.91,32,45,49,48,2,144,140,50,0
10.03,32,45,50,48,2,144,140,14,0
9.98,32,45,50,48,2,144,140,31,0
10.09,32,45,51,48,2,144,140,47,0
9.89,32,45,51,48,2,144,140,48,0
9.97,32,45,51,48,2,144,140,13,0
10.03,33,47,51,48,2,145,143,23,0
10.12,32,47,52,48,2,145,143,40,0
9.89,32,47,52,48,2,145,143,57,0
11.55,32,47,53,48,2,145,143,5,0
8.45,33,48,53,48,2,145,142,22,0
10.35,33,48,54,48,2,145,141,39,0
9.88,34,48,54,48,2,145,141,55,0
9.58,34,48,54,48,2,145,141,4,0
10.41,34,48,54,48,2,145,141,21,0
9.79,34,48,53,48,2,145,141,39,0
10.18,34,48,54,48,2,145,141,55,0
9.72,34,48,54,48,2,145,141,4,0
10.09,34,48,54,48,2,145,141,21,0
9.98,35,49,54,48,2,145,141,36,0
10.2,35,49,54,48,2,145,141,53,0
9.68,35,49,54,48,2,145,141,2,0
10.13,35,49,54,48,2,145,141,19,0
9.94,35,49,54,48,2,145,140,37,0
10.18,36,50,54,48,2,145,140,52,0
9.59,36,50,53,48,2,145,140,2,0
10.41,36,50,54,48,2,145,140,18,0
9.79,36,50,54,48,2,145,140,35,0
10.19,36,50,53,48,2,145,140,53,0
9.61,36,50,53,48,2,145,139,3,0
10.37,36,50,53,48,2,145,139,20,0
9.76,36,50,53,48,2,145,139,37,0
10.23,37,51,52,48,2,145,145,48,0
9.56,34,51,52,48,2,145,144,1,0
10.42,34,51,52,48,2,146,144,17,0
10.77,34,51,52,48,2,146,144,34,0
9.21,34,51,52,48,2,146,144,51,0
9.72,34,51,52,48,2,146,144,0,0
10.27,34,51,52,48,2,146,144,17,0
9.81,34,51,52,48,2,146,144,34,0
10.17,35,51,50,48,2,146,135,60,0
9.59,35,51,51,48,2,146,143,0,0
10.58,35,51,51,48,2,146,141,19,0
9.64,35,51,50,48,2,146,133,45,0
10.18,35,50,50,48,2,146,127,52,0
9.92,35,50,49,48,2,146,124,5,0
10.09,35,50,50,48,2,146,124,21,0
9.78,35,49,49,48,2,146,122,42,0
10.22,35,49,49,48,2,146,118,63,0
9.51,35,48,48,48,2,146,116,0,0
10.5,33,48,48,48,2,147,118,16,0
9.71,33,48,48,48,2,147,115,36,0
10.28,33,47,48,48,2,147,113,55,0
9.49,33,49,64,48,2,147,134,68,0
10.52,32,49,65,48,2,147,134,85,0
9.69,32,49,78,48,2,147,134,105,0
10.3,32,49,78,48,2,147,134,122,0
9.57,32,48,78,48,2,147,129,77,0
10.46,32,48,92,48,2,147,129,81,0
9.62,32,49,92,48,2,147,146,97,0
10.36,32,49,98,48,2,147,146,125,0
9.86,33,50,98,48,2,147,144,74,0
10.34,34,50,99,48,2,147,144,89,0
9.39,34,50,99,48,2,147,144,106,0
10.58,38,56,99,48,2,147,141,115,0
9.38,39,56,98,48,2,147,141,64,0
10.65,39,56,99,48,2,147,141,80,0
9.35,39,56,99,48,2,147,141,97,0
10.59,43,61,98,48,2,147,141,122,0
9.33,43,61,98,48,2,147,142,70,0
10.63,43,61,99,48,2,148,142,85,0
10.16,43,61,99,48,2,148,142,102,0
9.86,45,65,98,48,2,148,139,118,0
9.36,47,65,98,48,2,148,139,65,0
10.58,47,65,98,48,2,148,139,82,0
9.5,47,65,98,48,2,148,139,99,0
10.51,49,68,97,48,2,148,137,115,0
9.39,51,68,97,48,2,148,136,79,0
10.62,51,68,97,48,2,148,136,80,0
9.39,51,68,97,48,2,148,136,97,0
10.58,53,71,96,48,2,148,140,122,0
9.64,52,71,95,48,2,148,139,73,0
10.46,52,71,96,48,2,149,139,89,0
9.31,54,73,96,48,2,149,141,100,0
10.54,53,73,95,48,2,149,141,118,0
9.45,53,73,94,48,2,149,141,68,0
10.51,53,73,96,48,2,151,141,82,0
0.5,53,73,96,48,2,151,141,82,1
0.5,53,73,96,48,2,151,141,82,1
0.5,53,73,96,48,2,151,141,82,1
0.5,53,73,96,48,2,151,141,82,1
20,53,74,95,48,2,151,143,96,1
10.51,52,74,94,48,2,151,143,115,0
9.26,52,74,94,48,2,151,143,64,0
10.82,53,76,96,48,2,155,146,87,0
9.18,51,76,96,48,2,155,144,108,0
10.76,52,76,95,48,2,155,144,124,0
9.24,52,76,95,48,2,155,148,69,0
10.76,49,76,96,48,2,157,148,87,0
9.23,49,76,96,48,2,157,146,106,0
10.68,51,76,95,48,2,157,149,118,0
9.34,48,76,94,48,2,157,148,72,0
10.74,49,76,95,48,2,159,148,85,0
9.25,49,76,95,48,2,159,167,100,0
10.68,33,78,94,48,2,159,167,115,0
9.32,33,78,93,48,2,159,167,65,0
10.7,34,79,88,48,2,161,171,80,0
9.3,30,79,88,48,2,161,171,100,0
11.45,30,79,72,48,2,161,171,116,0
8.54,28,72,72,48,2,161,175,70,0
10.68,24,72,60,48,2,161,175,18,0
9.56,24,72,60,48,2,161,175,35,0
10.35,25,73,44,48,2,161,179,62,0
9.17,22,73,43,48,2,161,179,15,0
10.86,22,73,22,48,2,162,179,19,0
9.38,20,67,21,48,2,162,189,35,0
10.57,14,67,20,48,2,162,189,58,0
9.19,14,56,21,48,2,162,137,1,0
10.9,13,53,20,48,2,162,138,22,0
10.6,12,53,20,48,2,162,138,40,0
8.53,12,50,19,48,2,162,139,60,0
9.96,11,50,19,48,2,162,139,10,0
10.82,11,50,19,48,2,162,139,27,0
9.43,10,47,20,48,2,162,142,43,0
9.79,9,47,20,48,2,162,142,61,0
9.97,9,47,20,48,2,162,142,10,0
10.75,10,44,20,48,2,162,121,17,0
9.49,12,42,19,48,2,162,117,39,0
9.74,12,39,19,48,2,162,121,55,0
10.01,10,37,20,48,2,162,118,10,0
11.33,10,35,20,48,2,162,114,17,0
8.68,9,34,22,48,2,162,84,46,0
10.94,26,31,22,48,2,162,80,53,0
9.31,26,30,22,48,2,162,78,4,0
9.77,25,28,23,48,2,161,73,29,0
10.21,28,27,23,48,2,161,73,44,0
10.77,27,27,23,48,2,161,73,62,0
9.19,26,29,26,48,2,161,73,7,0
9.72,29,29,26,48,2,159,73,22,0
10.27,29,28,26,48,2,159,73,40,0
9.74,27,31,26,48,2,159,73,56,0
10.08,31,29,29,48,2,159,73,0,0
9.9,29,29,29,48,2,155,73,23,0
10.1,29,29,30,48,2,155,73,39,0
9.79,28,35,34,48,2,155,81,58,0
10.2,31,36,35,48,2,155,90,9,0
9.92,28,37,35,48,2,151,93,29,0
10.19,28,38,35,48,2,151,94,44,0
9.81,28,41,37,48,2,151,96,55,0
10.19,32,42,38,48,2,151,102,9,0
9.8,31,43,38,48,2,148,105,25,0
10.18,31,43,38,48,2,148,105,42,0
9.81,31,45,39,48,2,148,111,50,0
10.17,31,45,39,48,2,148,113,14,0
9.82,31,46,39,48,2,148,115,28,0
10.16,31,45,39,48,2,148,114,47,0
9.61,32,46,39,48,2,148,104,56,0
10.36,35,45,39,48,2,148,103,4,0
9.64,34,46,39,48,2,147,104,21,0
10.36,34,45,39,48,2,147,103,40,0
9.63,35,46,40,48,2,147,98,59,0
10.55,36,46,40,48,2,147,99,6,0
9.7,35,50,40,48,2,147,121,16,0
10.28,35,50,41,48,2,147,121,32,0
9.44,36,50,41,48,2,147,117,52,0
10.54,36,50,41,48,2,147,117,1,0
9.5,35,50,41,48,2,147,114,22,0
0.5,35,50,41,48,2,147,114,22,1
0.5,35,50,41,48,2,147,114,22,1
0.5,35,50,41,48,2,147,114,22,1
0.5,35,50,41,48,2,147,114,22,1
0.5,35,50,41,48,2,147,114,22,1
20.96,35,50,41,48,2,147,116,37,1
9.54,36,49,41,48,2,147,107,62,0
10.45,36,48,41,48,2,147,103,0,0
9.6,37,48,41,48,2,147,102,17,0
10.37,37,47,41,48,2,147,100,36,0
9.81,38,46,40,48,2,147,92,61,0
10.19,38,46,40,48,2,147,91,11,0
9.57,38,45,40,48,2,147,89,31,0
10.39,38,44,39,48,2,147,89,34,0
9.59,37,43,39,48,2,147,86,56,0
10.41,37,43,39,48,2,147,85,6,0
9.68,37,42,39,48,2,148,83,25,0
10.31,37,42,39,48,2,148,78,46,0
9.75,39,42,39,48,2,148,78,61,0
10.27,39,42,39,48,2,148,80,9,0
9.51,39,41,39,48,2,147,78,29,0
10.45,38,42,39,48,2,147,82,43,0
9.49,37,41,39,48,2,147,81,63,0
10.51,37,41,39,48,2,147,81,12,0
9.52,37,41,39,48,2,147,81,29,0
10.46,36,43,43,48,2,147,91,47,0
9.69,36,45,43,48,2,147,96,126,0
10.47,36,52,60,48,2,147,144,72,0
9.28,36,52,60,48,2,147,144,89,0
10.56,34,51,60,48,2,147,145,108,0
9.5,34,51,66,48,2,147,145,120,0
10.63,34,51,66,48,2,147,145,69,0
10.69,34,51,71,48,2,147,145,81,0
9.17,35,52,71,48,2,147,148,109,0
9.43,33,52,75,48,2,147,148,124,0
10.68,33,52,75,48,2,147,146,75,0
9.51,34,52,78,48,2,148,146,87,0
10.57,36,55,78,48,2,148,149,96,0
9.25,34,55,81,48,2,148,149,113,0
10.7,34,55,81,48,2,148,148,79,0
9.33,35,55,84,48,2,149,148,91,0
10.54,36,56,84,48,2,149,146,108,0
9.47,37,56,86,48,2,149,146,122,0
10.53,37,56,86,48,2,149,146,71,0
9.44,38,58,89,48,2,151,150,92,0
10.55,36,58,88,48,2,151,149,97,0
9.49,37,58,91,48,2,151,149,126,0
10.54,37,58,91,48,2,151,149,75,0
9.4,38,61,94,48,2,151,146,88,0
10.74,41,61,94,48,2,151,148,100,0
10.77,41,61,97,48,2,151,148,115,0
9.03,42,62,97,48,2,151,151,75,0
9.48,39,62,99,48,2,153,151,91,0
10.72,39,62,99,48,2,153,150,109,0
0.5,39,62,99,48,2,153,150,109,1
0.5,39,62,99,48,2,153,150,109,1
19.77,40,62,102,48,2,153,150,122,1
10.51,41,64,101,48,2,153,149,71,0
9.54,41,64,103,48,2,153,149,86,0
10.6,41,64,103,48,2,153,149,103,0
9.33,45,69,103,48,2,153,148,112,0
10.58,45,69,102,48,2,153,148,78,0
11.01,45,69,103,48,2,155,148,92,0
9.02,48,73,103,48,2,155,146,105,0
9.42,50,73,104,48,2,155,146,119,0
10.43,50,73,104,48,2,155,146,68,0
