Physic_1,Physic_2,Physic_3,Physic_4,Physic_5
48,22,48,23,26
48,22,48,23,26
48,22,48,23,26
48,22,48,23,26
48,22,48,23,26
49,22,49,23,26
49,22,49,23,26
49,22,49,23,26
49,22,49,23,26
48,22,48,23,26
48,22,48,23,26
48,22,48,23,26
48,22,48,23,26
48,22,48,23,26
48,22,48,23,26
49,22,49,23,26
49,22,49,23,26
49,22,49,23,26
49,22,49,23,26
49,22,49,23,26
49,22,49,23,26
49,22,49,23,26
49,22,49,23,26
49,22,49,23,26
49,22,49,23,26
49,22,49,23,26
48,22,48,23,26
48,22,48,23,26
48,22,48,23,26
48,22,48,23,26
49,22,49,23,26
49,22,49,23,26
49,22,49,23,26
49,22,49,23,26
49,22,49,23,26
49,22,49,23,26
49,22,49,23,26
49,22,49,23,26
49,22,49,23,26
49,22,49,23,26
49,22,49,23,26
49,22,49,23,26
49,22,49,23,26
49,22,49,23,26
49,22,49,23,26
49,22,49,23,26
49,22,49,23,26
49,22,49,23,26
49,22,49,23,26
49,22,49,23,26
49,22,49,23,26
49,22,49,23,26
49,21,49,23,26
49,21,49,23,26
49,21,49,23,26
50,21,50,23,26
50,21,50,23,26
50,21,50,23,26
50,21,50,23,26
49,21,49,23,26
49,21,49,23,26
49,21,49,23,26
47,21,47,23,26
47,21,47,23,26
50,21,50,23,26
50,21,50,23,26
48,21,48,23,26
48,21,48,23,26
48,21,48,23,26
47,21,47,23,26
46,21,46,23,26
45,21,45,23,26
44,21,44,23,26
43,21,43,23,26
42,21,42,23,26
40,21,40,23,26
39,21,39,23,26
38,21,38,23,26
37,21,37,23,26
37,21,37,23,26
36,22,36,23,26
35,22,35,23,26
34,22,34,23,26
33,22,33,24,26
33,22,33,24,26
32,22,32,24,26
30,22,30,24,26
29,21,29,24,26
28,21,28,24,26
27,21,27,24,26
25,21,25,24,26
24,21,24,24,26
23,21,23,24,26
21,21,21,24,26
21,21,21,24,26
21,21,21,24,26
22,20,22,24,26
23,20,23,24,26
23,20,23,24,26
24,20,24,24,26
24,20,24,24,26
25,20,25,24,26
25,20,25,24,26
25,20,25,24,26
25,20,25,24,26
25,20,25,24,26
26,20,26,24,26
26,19,26,24,26
26,19,26,24,26
26,19,26,24,26
26,19,26,24,26
27,19,27,24,26
27,19,27,24,26
27,19,27,24,26
27,19,27,24,26
26,19,26,24,26
26,19,26,24,26
26,19,26,24,26
26,19,26,24,26
25,19,25,24,26
25,19,25,24,26
25,19,25,24,26
25,19,25,24,26
25,19,25,24,26
25,19,25,24,26
24,19,24,24,26
24,19,24,24,26
25,19,25,24,26
25,19,25,24,26
25,19,25,24,26
25,19,25,24,26
25,19,25,24,26
25,19,25,24,26
25,19,25,24,26
25,19,25,24,25
24,19,24,24,25
24,19,24,24,25
24,19,24,24,25
24,19,24,24,25
24,19,24,24,25
24,19,24,24,25
24,19,24,24,25
24,19,24,24,25
24,19,24,24,25
24,19,24,24,25
24,19,24,24,25
24,19,24,24,25
24,19,24,24,25
24,19,24,24,25
24,19,24,24,25
24,19,24,24,25
24,19,24,24,25
24,19,24,24,25
24,19,24,24,25
24,19,24,24,25
24,19,24,24,25
24,18,24,24,25
24,18,24,24,25
24,18,24,24,25
24,18,24,24,25
24,18,24,24,25
24,18,24,24,25
24,18,24,24,25
24,18,24,24,25
25,18,25,24,25
25,18,25,24,25
25,18,25,24,25
25,18,25,24,25
25,18,25,24,25
25,18,25,24,25
25,18,25,24,25
25,18,25,24,25
25,18,25,24,25
25,18,25,24,25
25,18,25,24,24
25,18,25,24,24
25,18,25,24,24
25,18,25,24,24
24,18,24,24,24
24,18,24,24,24
24,18,24,24,24
24,18,24,24,24
24,18,24,24,24
24,18,24,24,24
24,18,24,24,24
24,18,24,24,24
24,18,24,24,24
24,18,24,24,24
24,18,24,24,24
24,18,24,24,24
24,18,24,24,24
24,18,24,24,24
24,18,24,24,24
24,18,24,24,24
24,18,24,24,24
24,18,24,24,24
24,18,24,24,24
24,18,24,24,24
24,18,24,24,24
24,18,24,24,24
24,18,24,24,24
24,18,24,24,24
24,18,24,24,24
24,18,24,24,24
24,17,24,24,24
25,17,25,24,24
25,17,25,24,24
25,17,25,24,24
25,17,25,24,23
24,17,24,24,23
24,17,24,24,23
24,17,24,24,23
24,17,24,24,23
24,17,24,24,23
24,17,24,24,23
24,17,24,24,23
24,17,24,24,23
24,17,24,24,23
24,17,24,24,23
24,17,24,24,23
24,17,24,24,23
24,17,24,24,23
24,17,24,24,23
24,17,24,24,23
24,17,24,24,23
24,17,24,24,23
24,17,24,24,23
24,17,24,24,23
24,17,24,24,23
24,17,24,24,23
24,17,24,24,23
24,17,24,24,23
24,17,24,24,23
24,17,24,24,23
24,17,24,24,23
24,17,24,24,23
24,17,24,24,23
24,17,24,24,23
24,17,24,24,23
25,17,25,24,23
24,17,24,24,23
24,17,24,24,23
24,17,24,24,22
24,17,24,24,22
24,17,24,24,22
24,17,24,24,22
24,17,24,24,22
24,17,24,24,22
24,17,24,24,22
24,17,24,24,22
24,17,24,24,22
24,17,24,24,22
24,17,24,24,22
24,17,24,24,22
24,17,24,24,22
24,17,24,24,22
24,17,24,24,22
24,17,24,24,22
24,16,24,24,22
24,16,24,24,22
24,16,24,24,22
24,16,24,24,22
24,16,24,24,22
24,16,24,24,22
24,16,24,24,22
24,16,24,24,22
24,16,24,24,22
24,16,24,24,22
24,16,24,24,22
24,16,24,24,22
24,16,24,24,22
24,16,24,24,21
24,16,24,25,21
24,16,24,25,21
24,16,24,25,21
24,16,24,25,21
24,16,24,25,21
24,16,24,25,21
24,16,24,25,21
24,16,24,25,21
24,16,24,25,21
24,16,24,25,21
24,16,24,25,21
24,16,24,25,21
24,16,24,25,21
24,16,24,25,21
24,16,24,25,21
24,16,24,25,21
24,16,24,25,21
24,16,24,25,21
24,16,24,25,21
24,16,24,25,21
24,16,24,25,21
24,16,24,25,21
24,16,24,25,21
24,16,24,25,20
24,16,24,24,20
24,16,24,24,20
24,16,24,24,20
24,16,24,24,20
24,16,24,24,20
24,16,24,24,20
24,16,24,24,20
24,16,24,24,20
24,16,24,24,20
24,16,24,24,20
24,15,24,24,20
24,15,24,24,20
24,15,24,24,20
24,15,24,24,20
24,15,24,24,20
24,15,24,24,20
24,15,24,24,20
24,15,24,24,20
24,15,24,24,20
24,15,24,24,20
24,15,24,24,20
24,15,24,24,20
24,15,24,24,20
24,15,24,24,20
24,15,24,24,20
24,15,24,24,20
25,15,25,24,20
25,15,25,24,19
25,15,25,24,19
24,15,24,24,19
24,15,24,24,19
24,15,24,24,19
24,15,24,24,19
24,15,24,24,19
24,15,24,24,19
24,15,24,24,19
24,15,24,24,20
24,15,24,24,20
25,15,25,24,20
25,15,25,25,20
25,15,25,25,19
25,15,25,25,19
25,15,25,24,19
25,15,25,24,19
25,15,25,24,19
25,15,25,24,19
25,15,25,25,19
25,15,25,25,19
25,15,25,25,19
25,15,25,25,19
25,14,25,25,19
25,14,25,25,19
25,14,25,25,19
25,14,25,25,19
25,14,25,25,19
25,14,25,25,18
25,14,25,25,18
26,14,26,25,18
26,14,26,25,18
26,14,26,25,18
26,14,26,25,18
26,14,26,25,18
26,14,26,25,18
26,14,26,25,18
26,14,26,25,18
26,14,26,25,18
26,14,26,25,18
26,14,26,25,18
26,14,26,25,18
26,14,26,25,18
26,14,26,25,18
26,14,26,25,18
26,14,26,25,17
27,14,27,25,17
27,14,27,25,17
27,14,27,25,17
27,14,27,25,17
27,14,27,25,17
27,14,27,25,17
27,14,27,25,17
27,14,27,25,17
27,14,27,25,17
27,14,27,25,17
27,14,27,25,17
27,14,27,25,17
27,14,27,25,17
28,14,28,25,17
28,14,28,25,17
28,14,28,25,17
28,13,28,25,17
27,13,27,25,17
27,13,27,25,17
27,13,27,25,17
28,13,28,25,16
28,13,28,25,16
28,13,28,25,16
28,13,28,25,16
28,13,28,25,17
28,13,28,25,17
28,13,28,26,17
28,13,28,26,17
28,13,28,25,16
28,13,28,25,16
29,13,29,25,16
29,13,29,25,16
29,13,29,25,16
29,13,29,25,16
30,13,30,25,16
30,13,30,25,16
30,13,30,26,16
30,13,30,26,16
30,13,30,26,16
30,13,30,26,16
30,13,30,26,16
30,13,30,25,16
30,13,30,25,16
30,13,30,25,16
30,13,30,25,16
30,13,30,25,16
30,13,30,25,16
30,13,30,25,16
29,13,29,25,16
29,13,29,25,16
30,13,30,25,16
30,13,30,25,16
30,13,30,25,16
30,13,30,25,16
30,13,30,25,16
30,13,30,25,16
30,13,30,25,16
30,13,30,25,16
30,13,30,25,16
30,13,30,25,16
30,13,30,25,16
30,13,30,25,16
30,13,30,25,16
30,13,30,25,16
30,13,30,25,16
30,13,30,25,16
29,13,29,25,16
29,13,29,25,16
29,13,29,25,16
29,13,29,25,16
29,13,29,25,16
29,13,29,25,16
29,13,29,25,16
29,13,29,25,17
29,13,29,25,17
30,13,30,25,17
30,13,30,25,17
30,13,30,25,16
30,13,30,25,16
29,13,29,25,16
29,13,29,25,17
29,13,29,25,17
30,13,30,25,17
30,13,30,25,17
31,13,31,25,17
31,13,31,25,17
31,13,31,25,17
31,13,31,25,17
31,13,31,25,17
31,13,31,25,17
31,13,31,25,17
31,13,31,25,16
30,13,30,25,16
30,13,30,25,16
29,13,29,25,16
29,13,29,25,16
29,13,29,25,16
29,13,29,25,16
28,13,28,25,16
28,13,28,25,16
28,13,28,25,16
28,13,28,25,16
28,13,28,25,16
29,13,29,25,16
29,13,29,25,16
29,13,29,25,16
29,13,29,25,16
29,13,29,25,16
30,13,30,26,16
30,13,30,26,16
30,13,30,25,16
30,13,30,25,16
30,13,30,26,16
30,13,30,25,16
30,13,30,25,16
30,13,30,25,16
30,13,30,25,16
30,13,30,25,16
30,13,30,25,16
30,13,30,25,16
30,13,30,25,16
30,13,30,25,16
30,13,30,25,16
30,13,30,25,16
30,13,30,25,16
30,13,30,25,16
30,13,30,25,16
30,13,30,25,16
30,13,30,25,16
30,13,30,25,16
30,13,30,26,16
31,13,31,26,16
31,13,31,27,16
30,13,30,25,16
30,13,30,25,16
30,13,30,25,16
30,13,30,25,16
30,13,30,26,16
30,13,30,26,16
30,13,30,25,16
30,13,30,25,16
30,13,30,25,16
30,13,30,25,16
30,13,30,25,16
30,13,30,25,16
30,13,30,25,16
30,13,30,25,16
30,13,30,25,16
30,13,30,25,16
30,13,30,25,16
31,13,31,25,16
31,13,31,25,16
31,13,31,25,15
31,13,31,25,15
31,13,31,25,15
32,13,32,25,15
32,13,32,25,16
32,13,32,25,16
32,13,32,25,16
32,13,32,25,16
32,13,32,25,16
32,13,32,25,16
36,13,36,25,16
36,13,36,25,16
36,13,36,25,16
36,13,36,25,16
40,13,40,25,16
40,13,40,25,16
40,13,40,25,16
44,13,44,25,16
44,13,44,25,16
44,13,44,25,16
48,13,48,25,16
48,13,48,25,16
48,13,48,24,16
48,14,48,24,16
53,14,53,24,16
53,14,53,24,16
53,14,53,24,16
60,14,60,24,16
60,14,60,24,16
60,14,60,24,16
67,14,67,24,15
67,14,67,24,15
67,14,67,23,15
67,14,67,23,15
75,14,75,22,15
75,14,75,22,15
75,15,75,23,15
84,15,84,23,15
84,15,84,22,16
84,15,84,22,16
90,15,90,21,16
90,15,90,21,16
96,16,96,21,16
96,16,96,21,16
96,17,96,21,16
99,17,99,21,16
99,17,99,21,16
99,17,99,21,16
103,17,103,21,16
103,17,103,20,16
105,18,105,21,16
105,18,105,21,16
105,19,105,21,16
108,19,108,21,16
108,19,108,21,16
109,19,109,21,16
109,19,109,21,16
111,20,111,20,16
111,20,111,20,16
111,21,111,20,16
112,21,112,20,16
112,21,112,20,16
113,21,113,20,16
113,22,113,20,16
114,22,114,20,16
114,22,114,20,16
114,22,114,20,16
114,23,114,20,16
114,23,114,20,16
114,23,114,20,16
115,23,115,20,16
115,23,115,20,16
116,23,116,20,16
116,23,116,20,16
117,23,117,20,16
117,24,117,20,16
118,24,118,21,16
118,24,118,21,16
119,24,119,21,16
119,24,119,21,16
118,24,118,21,16
118,24,118,21,16
119,24,119,21,16
119,24,119,21,17
119,24,119,21,17
119,24,119,21,17
119,24,119,21,17
119,24,119,21,17
119,25,119,21,17
119,25,119,21,17
119,25,119,21,17
120,25,120,21,17
120,25,120,21,17
120,25,120,21,17
120,25,120,21,17
120,25,120,21,17
120,25,120,21,17
120,25,120,21,17
120,25,120,21,17
120,26,120,21,17
121,26,121,21,17
121,26,121,21,17
121,26,121,21,17
121,26,121,21,17
122,26,122,21,17
122,26,122,21,17
122,26,122,21,17
123,26,123,21,17
123,26,123,21,18
122,26,122,21,18
122,27,122,21,18
122,27,122,21,18
123,27,123,21,18
123,27,123,21,18
123,27,123,21,18
123,27,123,21,18
123,27,123,21,18
123,27,123,21,18
122,27,122,21,18
122,27,122,21,18
122,27,122,21,18
122,27,122,21,18
122,27,122,21,18
122,27,122,21,18
122,27,122,21,18
122,27,122,21,18
122,27,122,21,18
122,27,122,21,18
121,27,121,21,18
121,27,121,21,18
121,27,121,21,19
121,27,121,21,19
121,27,121,21,19
120,27,120,21,19
120,27,120,21,19
120,27,120,21,19
117,27,117,21,19
117,27,117,21,19
117,27,117,21,19
116,27,116,21,19
116,27,116,21,19
114,27,114,21,19
114,27,114,21,19
112,27,112,21,19
112,27,112,21,19
111,27,111,21,19
109,27,109,21,19
109,27,109,21,19
107,27,107,21,19
107,27,107,21,19
102,27,102,21,19
99,27,99,21,19
99,27,99,21,19
96,27,96,21,19
96,26,96,21,19
93,26,93,21,20
93,26,93,21,20
90,26,90,21,20
88,26,88,21,20
88,26,88,21,20
86,26,86,21,20
86,25,86,21,20
83,25,83,21,20
83,25,83,21,20
79,25,79,21,20
79,25,79,21,20
76,25,76,22,20
76,25,76,22,20
77,25,77,22,20
77,24,77,22,20
74,24,74,22,20
74,24,74,22,20
76,24,76,21,20
73,24,73,21,20
73,24,73,22,20
73,23,73,22,20
71,23,71,21,20
70,23,70,21,20
68,23,68,21,20
66,23,66,21,20
64,23,64,22,20
62,23,62,22,20
60,23,60,22,20
58,22,58,22,20
56,22,56,22,20
54,22,54,22,20
52,22,52,22,20
51,22,51,22,20
49,22,49,22,20
47,22,47,22,20
45,22,45,22,20
44,21,44,22,20
42,21,42,22,20
40,21,40,22,20
39,21,39,22,21
39,21,39,22,21
37,20,37,23,21
36,20,36,23,21
35,20,35,23,21
33,20,33,23,21
32,20,32,23,21
31,20,31,23,21
30,20,30,23,21
29,19,29,23,21
29,19,29,23,21
29,19,29,23,21
30,19,30,23,21
30,19,30,23,21
31,18,31,23,21
31,18,31,23,21
31,18,31,23,21
32,18,32,23,21
32,18,32,23,20
32,18,32,23,20
32,18,32,23,20
32,18,32,23,21
32,18,32,23,21
32,18,32,23,21
31,17,31,23,21
31,17,31,23,21
31,17,31,23,21
31,17,31,23,21
30,17,30,23,21
30,17,30,23,21
29,17,29,23,21
29,17,29,23,21
29,17,29,23,21
28,17,28,23,21
28,17,28,23,21
28,17,28,23,21
27,17,27,22,21
27,17,27,22,21
27,17,27,22,21
27,17,27,22,20
26,17,26,22,20
27,17,27,22,20
27,17,27,22,21
26,17,26,22,21
26,17,26,23,21
26,17,26,23,21
25,17,25,23,21
25,17,25,23,21
25,17,25,23,21
25,17,25,23,21
25,17,25,23,21
25,17,25,23,21
24,17,24,23,21
24,17,24,23,21
24,17,24,23,21
24,17,24,23,21
24,17,24,23,21
24,17,24,23,21
24,17,24,23,21
24,17,24,23,21
24,17,24,23,21
24,17,24,23,21
24,17,24,23,21
24,17,24,23,20
24,17,24,23,20
23,17,23,23,20
23,17,23,23,20
23,16,23,23,20
23,16,23,23,20
23,16,23,23,20
23,16,23,23,20
23,16,23,23,20
23,16,23,23,20
23,16,23,23,20
23,16,23,23,20
23,16,23,23,20
24,16,24,23,20
24,16,24,23,20
24,16,24,23,20
24,16,24,23,20
24,16,24,23,20
24,16,24,23,20
24,16,24,23,20
24,16,24,23,20
25,16,25,23,20
25,16,25,23,20
25,16,25,23,20
25,16,25,23,20
25,16,25,23,20
26,16,26,23,20
26,15,26,23,20
26,15,26,23,20
26,15,26,23,20
26,15,26,23,20
26,15,26,23,20
26,15,26,23,20
26,15,26,23,20
26,15,26,23,20
26,15,26,23,20
26,15,26,23,20
26,15,26,23,20
26,15,26,23,20
26,15,26,23,20
25,15,25,23,20
25,15,25,23,20
25,15,25,23,20
25,15,25,23,20
25,15,25,23,20
25,15,25,23,20
25,15,25,23,20
25,15,25,23,20
25,15,25,23,20
25,15,25,23,20
25,15,25,23,20
25,15,25,23,20
25,15,25,23,20
25,15,25,23,20
25,15,25,23,20
25,15,25,23,20
25,15,25,23,20
25,15,25,23,20
25,15,25,23,20
25,15,25,23,20
25,15,25,23,20
25,15,25,23,20
25,15,25,23,20
25,15,25,23,20
25,15,25,23,20
25,15,25,23,20
25,15,25,23,20
25,15,25,23,20
25,15,25,23,20
25,15,25,23,20
25,15,25,23,20
25,15,25,23,20
25,15,25,23,20
25,15,25,23,20
25,15,25,23,20
25,15,25,23,20
25,15,25,23,20
25,15,25,23,20
25,15,25,23,20
25,15,25,23,20
25,15,25,23,20
25,15,25,23,20
25,15,25,23,20
25,15,25,23,20
25,15,25,23,20
25,15,25,23,20
25,15,25,23,20
25,15,25,23,20
25,15,25,23,20
25,15,25,23,20
25,15,25,23,20
25,15,25,23,20
25,15,25,23,20
25,15,25,23,20
25,15,25,23,20
25,15,25,23,20
25,15,25,23,20
25,15,25,23,20
25,15,25,23,20
25,15,25,23,20
25,15,25,23,20
25,15,25,23,20
25,15,25,23,20
25,15,25,23,20
25,15,25,23,20
25,15,25,23,20
25,15,25,23,20
25,15,25,23,20
25,15,25,23,20
25,15,25,23,20
25,15,25,23,20
25,15,25,23,20
25,15,25,23,20
25,15,25,23,20
25,15,25,23,20
25,15,25,23,20
25,15,25,23,20
25,15,25,23,20
25,15,25,23,20
25,15,25,23,20
25,15,25,23,20
25,15,25,23,20
25,15,25,23,20
25,15,25,23,20
25,15,25,23,20
25,15,25,23,20
25,15,25,23,20
25,15,25,23,20
25,15,25,23,20
25,15,25,23,20
25,15,25,23,20
25,15,25,23,20
25,15,25,23,20
25,15,25,23,20
25,15,25,23,20
25,15,25,23,20
25,15,25,23,20
25,15,25,23,20
25,15,25,23,20
25,15,25,23,20
25,15,25,23,20
25,15,25,23,20
25,15,25,23,20
25,15,25,23,20
25,15,25,23,20
25,15,25,23,20
25,15,25,23,20
25,15,25,23,20
25,15,25,23,20
25,15,25,23,20
25,15,25,23,20
25,15,25,23,20
25,15,25,23,20
25,15,25,23,19
25,15,25,23,19
25,15,25,23,19
25,15,25,23,20
25,15,25,23,20
25,15,25,23,20
25,15,25,23,20
25,15,25,23,20
24,15,24,24,20
24,15,24,24,20
24,15,24,24,20
25,15,25,24,20
25,15,25,24,20
25,15,25,24,20
24,15,24,24,20
24,15,24,24,19
24,15,24,24,19
24,15,24,24,19
24,15,24,24,19
24,15,24,24,19
25,15,25,24,19
24,15,24,24,19
24,15,24,24,19
24,15,24,24,19
24,15,24,24,19
24,15,24,24,19
24,15,24,24,19
24,15,24,24,19
24,15,24,24,19
24,15,24,24,19
24,15,24,24,19
24,15,24,24,19
25,15,25,24,19
25,15,25,24,19
25,15,25,24,19
25,15,25,24,19
25,15,25,24,19
25,15,25,24,19
25,15,25,24,19
25,15,25,24,19
25,15,25,24,19
25,15,25,24,19
25,15,25,24,19
25,15,25,24,19
25,15,25,24,19
25,15,25,24,19
25,15,25,24,19
25,15,25,24,19
25,15,25,24,19
25,15,25,24,19
25,15,25,24,19
25,15,25,24,19
25,15,25,24,19
25,15,25,24,19
25,15,25,24,19
25,15,25,24,19
25,15,25,24,19
25,15,25,24,19
25,15,25,24,19
25,15,25,24,19
25,15,25,24,19
25,15,25,24,19
25,15,25,24,19
25,15,25,24,19
25,15,25,24,19
25,15,25,24,19
25,15,25,24,19
25,15,25,24,19
25,15,25,24,19
25,15,25,24,19
25,15,25,24,19
25,15,25,24,19
25,15,25,24,19
25,15,25,24,19
25,15,25,24,19
25,15,25,24,19
26,15,26,24,19
26,15,26,24,19
26,15,26,24,19
25,15,25,24,19
25,15,25,24,19
25,15,25,24,19
26,15,26,24,19
26,15,26,24,19
26,15,26,24,19
26,15,26,24,19
26,15,26,24,19
26,14,26,24,19
26,14,26,24,19
26,14,26,24,19
26,14,26,24,19
26,14,26,24,19
26,14,26,24,19
26,14,26,24,19
26,14,26,24,19
26,14,26,24,19
26,14,26,24,19
26,14,26,24,19
26,14,26,24,19
26,14,26,24,19
26,14,26,24,19
26,14,26,24,19
26,14,26,24,19
26,14,26,24,19
26,14,26,24,19
26,14,26,24,19
26,14,26,24,19
26,14,26,24,19
26,14,26,24,19
26,14,26,24,19
26,14,26,24,19
26,14,26,24,19
26,14,26,24,19
26,14,26,24,19
26,14,26,24,19
26,14,26,24,19
26,14,26,24,19
26,14,26,24,19
26,14,26,24,19
26,14,26,24,19
26,14,26,24,19
26,14,26,24,19
26,14,26,24,19
26,14,26,24,19
26,14,26,24,19
26,14,26,24,19
26,14,26,24,19
26,14,26,24,19
26,14,26,24,19
26,14,26,24,19
26,14,26,24,19
26,14,26,24,19
26,14,26,24,19
26,14,26,24,19
26,14,26,24,19
26,14,26,24,19
26,14,26,24,19
26,14,26,24,19
26,14,26,24,19
26,14,26,24,19
26,14,26,24,19
26,14,26,24,19
26,14,26,24,19
26,14,26,24,19
26,14,26,24,19
26,14,26,24,19
26,14,26,24,19
26,14,26,24,19
27,14,27,24,19
27,14,27,24,19
27,14,27,24,19
27,14,27,24,19
27,14,27,24,19
27,14,27,24,19
27,14,27,24,19
27,14,27,24,19
27,14,27,24,19
27,14,27,24,19
27,14,27,24,19
27,14,27,24,19
27,14,27,24,19
27,14,27,24,19
27,14,27,24,19
27,14,27,24,19
27,14,27,24,19
27,14,27,24,18
27,14,27,24,18
27,14,27,24,18
26,14,26,24,18
26,14,26,24,18
26,14,26,24,18
26,14,26,24,18
25,14,25,24,18
25,14,25,24,18
26,14,26,24,18
26,14,26,24,18
26,14,26,24,18
26,14,26,24,18
27,14,27,24,18
27,14,27,24,18
27,14,27,24,18
27,14,27,24,18
27,14,27,24,18
27,14,27,24,18
28,14,28,24,18
28,14,28,24,18
28,14,28,24,18
28,14,28,24,18
28,14,28,24,18
28,14,28,24,18
27,14,27,24,18
27,14,27,24,18
27,14,27,24,18
27,14,27,24,18
27,14,27,24,18
27,14,27,24,18
27,14,27,24,18
27,14,27,24,18
27,14,27,24,18
27,14,27,24,18
27,14,27,24,18
27,14,27,24,18
27,14,27,24,18
27,14,27,24,18
28,14,28,24,18
28,14,28,24,18
27,14,27,24,18
27,14,27,24,18
28,14,28,24,18
28,14,28,24,18
28,14,28,24,18
28,14,28,24,18
28,14,28,24,18
28,14,28,24,18
28,14,28,24,18
28,14,28,24,18
28,14,28,24,18
28,14,28,24,18
28,14,28,25,18
28,14,28,25,18
28,14,28,25,18
28,14,28,25,18
28,14,28,25,18
29,14,29,25,18
29,14,29,25,18
29,14,29,25,18
29,14,29,25,18
29,14,29,25,18
29,14,29,25,18
29,14,29,25,18
28,14,28,25,17
28,14,28,25,17
28,14,28,25,17
28,14,28,25,17
27,14,27,25,17
27,14,27,25,17
27,14,27,25,17
27,14,27,25,17
27,14,27,25,17
27,14,27,25,17
27,14,27,25,17
28,14,28,25,17
28,13,28,25,17
28,13,28,25,17
29,13,29,25,17
29,13,29,25,17
29,13,29,25,17
29,13,29,25,17
29,13,29,25,16
29,13,29,25,16
29,13,29,25,16
28,13,28,25,16
28,13,28,25,16
28,13,28,25,16
28,13,28,25,16
27,13,27,25,16
27,13,27,25,16
27,13,27,25,16
28,13,28,25,16
28,13,28,25,16
28,13,28,25,16
28,13,28,25,16
28,13,28,25,16
29,13,29,25,16
29,13,29,25,16
29,13,29,25,16
29,13,29,25,15
29,13,29,25,15
28,13,28,25,15
28,13,28,25,15
29,13,29,25,15
28,13,28,25,15
29,13,29,25,15
29,13,29,25,15
29,13,29,25,15
29,13,29,25,15
29,13,29,25,15
29,13,29,25,15
29,13,29,25,15
29,13,29,25,15
29,13,29,25,15
30,13,30,25,15
30,13,30,25,15
30,13,30,25,15
30,13,30,25,15
30,13,30,25,15
30,13,30,25,15
30,12,30,25,15
30,12,30,25,15
30,12,30,25,15
30,12,30,26,15
30,12,30,25,15
30,12,30,25,15
30,12,30,25,15
30,12,30,26,14
30,12,30,26,14
30,12,30,26,14
30,12,30,26,14
30,12,30,26,15
31,12,31,26,15
31,12,31,26,15
31,12,31,26,15
31,12,31,26,14
32,12,32,26,14
32,12,32,26,14
32,12,32,26,14
33,12,33,26,15
33,12,33,26,15
33,12,33,26,15
33,12,33,26,15
34,12,34,26,15
34,12,34,26,15
34,12,34,26,15
34,12,34,26,15
34,12,34,26,15
34,12,34,26,15
34,12,34,26,15
34,12,34,26,15
35,12,35,26,15
35,12,35,26,15
35,12,35,26,15
34,12,34,26,15
34,12,34,25,15
34,12,34,25,15
34,12,34,25,15
33,12,33,25,15
33,12,33,26,15
32,12,32,25,15
33,12,33,25,15
33,12,33,25,15
33,12,33,26,15
32,12,32,25,15
33,12,33,25,15
32,12,32,25,15
32,12,32,25,15
32,12,32,25,15
32,12,32,25,15
32,12,32,26,15
32,12,32,25,15
32,12,32,25,15
32,12,32,25,15
32,12,32,26,15
32,12,32,25,15
32,12,32,25,15
